epoch,accuracy,loss,val_accuracy,val_loss
0,0.37531137466430664,1.320124626159668,0.4812680184841156,1.2539093494415283
1,0.6889011859893799,0.8931478261947632,0.6858789920806885,0.8083488345146179
2,0.8140049576759338,0.5054171681404114,0.6887608170509338,0.749894380569458
3,0.8580127358436584,0.3755693733692169,0.7089337110519409,0.7180929780006409
4,0.8934403657913208,0.2963125705718994,0.7002881765365601,0.7730770111083984
5,0.9072792530059814,0.24961334466934204,0.6887608170509338,0.8371308445930481
6,0.9291447401046753,0.20891213417053223,0.680115282535553,0.8980215191841125
7,0.9432604312896729,0.17465709149837494,0.6887608170509338,0.958939790725708
8,0.9504566788673401,0.15087734162807465,0.6887608170509338,1.0281074047088623
9,0.9595903754234314,0.12933331727981567,0.6829971075057983,1.0629043579101562
10,0.9642956256866455,0.11403137445449829,0.6743515729904175,1.173499345779419
11,0.9642956256866455,0.11122266948223114,0.6829971075057983,1.159977674484253
12,0.9662330746650696,0.10408887267112732,0.6916426420211792,1.1664611101150513
13,0.9676169157028198,0.09624604135751724,0.6916426420211792,1.2337453365325928
14,0.9670633673667908,0.08860141783952713,0.6916426420211792,1.2493947744369507
15,0.9695543646812439,0.08251155912876129,0.6743515729904175,1.3643853664398193
16,0.9692776203155518,0.08073019981384277,0.6974063515663147,1.296304702758789
17,0.9723221659660339,0.07474793493747711,0.6916426420211792,1.3687455654144287
18,0.9717686176300049,0.07319802045822144,0.6657060384750366,1.455844521522522
19,0.9725989699363708,0.07242769002914429,0.6772334575653076,1.4707679748535156
20,0.9717686176300049,0.06949832290410995,0.680115282535553,1.4823294878005981
21,0.9739828109741211,0.06688519567251205,0.6772334575653076,1.4779644012451172
22,0.9739828109741211,0.0691857635974884,0.6887608170509338,1.4754849672317505
23,0.9748131632804871,0.06365757435560226,0.6743515729904175,1.5103940963745117
24,0.9745364189147949,0.06387194991111755,0.6916426420211792,1.529160737991333
